adx_threshold,bb_std,total_profit_pct
15,1.5,148.23
15,1.75,124.85
15,2.0,110.48
15,2.225,138.62
15,2.5,97.5
15,2.75,87.54
15,3.0,47.44
18,1.5,246.86
18,1.75,231.27
18,2.0,287.83
18,2.225,253.24
18,2.5,150.88
18,2.75,184.85
18,3.0,135.16
21,1.5,593.64
21,1.75,562.78
21,2.0,577.73
21,2.225,404.23
21,2.5,301.95
21,2.75,291.16
21,3.0,248.67
24,1.5,481.39
24,1.75,674.61
24,2.0,619.78
24,2.225,608.95
24,2.5,437.1
24,2.75,381.72
24,3.0,322.39
27,1.5,723.42
27,1.75,920.06
27,2.0,955.54
27,2.225,982.51
27,2.5,793.49
27,2.75,637.12
27,3.0,573.51
30,1.5,459.14
30,1.75,501.03
30,2.0,515.83
30,2.225,497.28
30,2.5,469.83
30,2.75,419.64
30,3.0,369.71
33,1.5,471.98
33,1.75,495.7
33,2.0,494.66
33,2.225,432.12
33,2.5,351.74
33,2.75,326.7
33,3.0,297.65
